"","X..name","planet_status","orbital_period","orbital_period_error_min","orbital_period_error_max","discovered","updated","publication_status","detection_type","mass_detection_type","radius_detection_type","alternate_names","molecules","star_name","ra","dec","star_sp_type","star_teff","star_detected_disc","star_magnetic_field","star_alternate_names"
"2","11 Com b","Confirmed",326.03,0.32,0.32,2008,"2015-08-21","Published in a refereed paper","Radial Velocity","","","","","11 Com",185.1791667,17.7927778,"G8 III",4742,"","",""
"3","11 Oph b","Confirmed",730000,365000,365000,2007,"2016-02-26","Published in a refereed paper","Imaging","","","","","11 Oph",245.6041667,-24.0872222,"M9",2375,"","",""
"4","11 UMi b","Confirmed",516.22,3.25,3.25,2009,"2009-08-13","Published in a refereed paper","Radial Velocity","","","","","11 UMi",229.275,71.8238889,"K4III",4340,"","",""
"5","14 And b","Confirmed",185.84,0.23,0.23,2008,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","14 And",352.8208333,39.2361111,"K0III",4813,"","",""
"6","14 Her b","Confirmed",1773.4,2.5,2.5,2002,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","14 Her",242.5958333,43.8216667,"K0 V",5311,"","",""
"7","16 Cyg B b","Confirmed",799.5,0.6,0.6,1996,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","16 Cyg B",295.4625,50.5175,"G2.5 V",5766,"","",""
"8","18 Del b","Confirmed",993.3,3.2,3.2,2008,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","18 Del",314.6083333,10.8391667,"G6III",4979,"","",""
"11","1SWASP J1407 b","Confirmed",3725,900,900,2012,"2014-10-29","Published in a refereed paper","Primary Transit","Radial Velocity","","","","1SWASP J1407",211.950000016,-39.761944469,"",4400,"","",""
"12","24 Sex b","Confirmed",452.8,4.5,2.1,2010,"2014-05-23","Published in a refereed paper","Radial Velocity","","","","","24 Sex",155.8666667,0.9022222,"G5",5098,"","",""
"13","24 Sex c","Confirmed",883,14,32,2010,"2014-05-23","Published in a refereed paper","Radial Velocity","","","","","24 Sex",155.8666667,0.9022222,"G5",5098,"","",""
"18","2M 0746+20 b","Confirmed",4640,25,25,2010,"2012-01-20","Published in a refereed paper","Imaging","","","","","2M 0746+20",116.6791667,20.0088889,"",2205,"","",""
"22","2M 2140+16 b","Confirmed",7340,584,584,2010,"2012-01-20","Published in a refereed paper","Imaging","","","","","2M 2140+16",325.1208333,16.4216667,"",2300,"","",""
"23","2M 2206-20 b","Confirmed",8686,69.4,69.4,2010,"2012-01-20","Published in a refereed paper","Imaging","","","","","2M 2206-20",331.5958333,-20.785,"",2350,"","",""
"30","30 Ari B b","Confirmed",335.1,2.5,2.5,2009,"2009-11-27","Published in a refereed paper","Radial Velocity","","","","","30 Ari B",39.2416667,24.6480556,"F6V",6484,"","",""
"31","38 Vir b","Confirmed",825.9,6.2,6.2,2016,"2017-02-20","Published in a refereed paper","Primary Transit","Radial Velocity","","HD 111998 b","","38 Vir",193.296489462,-3.55309929126,"F6 V",6557,"","","HIP 62875, HD 111998"
"32","4 Uma b","Confirmed",269.3,1.96,1.96,2007,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","4 Uma",130.0541667,64.3280556,"K1III",4415,"","",""
"33","42 Dra b","Confirmed",479.1,6.2,6.2,2009,"2009-03-23","Published in a refereed paper","Radial Velocity","","","","","42 Dra",276.4958333,65.5636111,"K1.5III",4200,"","",""
"34","47 Uma b","Confirmed",1078,2,2,1996,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","47 Uma",164.8708333,40.4294444,"G0V",5892,"","",""
"35","47 Uma c","Confirmed",2391,87,100,2001,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","47 Uma",164.8708333,40.4294444,"G0V",5892,"","",""
"36","47 Uma d","Confirmed",14002,5095,4018,2010,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","47 Uma",164.8708333,40.4294444,"G0V",5892,"","",""
"38","51 Peg b","Confirmed",4.2308,3.72905e-05,3.72905e-05,1995,"2017-01-26","Published in a refereed paper","Radial Velocity","Radial Velocity","Theoretical","","CO, H2O","51 Peg",344.3625,20.7686111,"G2 IV",5793,"","",""
"39","55 Cnc b","Confirmed",14.65314,0.00095,9e-04,1996,"2017-06-11","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","55 Cnc",133.1541667,28.3338889,"K0IV-V",5196,"","",""
"40","55 Cnc c","Confirmed",44.373,0.018,0.02,2002,"2017-06-11","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","55 Cnc",133.1541667,28.3338889,"K0IV-V",5196,"","",""
"41","55 Cnc d","Confirmed",4867,26,25,2002,"2017-06-11","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","55 Cnc",133.1541667,28.3338889,"K0IV-V",5196,"","",""
"42","55 Cnc e","Confirmed",0.7365478,1.2e-06,1.6e-06,2004,"2017-06-11","Published in a refereed paper","Primary Transit","Radial Velocity","","","H2O, HCN","55 Cnc",133.1541667,28.3338889,"K0IV-V",5196,"","",""
"43","55 Cnc f","Confirmed",260.91,0.36,0.36,2007,"2017-06-11","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","55 Cnc",133.1541667,28.3338889,"K0IV-V",5196,"","",""
"44","6 Lyn b","Confirmed",899,19,19,2008,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","6 Lyn",97.6958333,58.1627778,"K0IV",4978,"","",""
"45","61 Vir b","Confirmed",4.215,6e-04,6e-04,2009,"2009-12-15","Published in a refereed paper","Radial Velocity","","","","","61 Vir",199.6,-18.3111111,"G5V",5531,"Imaging","","HD 115617"
"46","61 Vir c","Confirmed",38.021,0.034,0.034,2009,"2009-12-15","Published in a refereed paper","Radial Velocity","","","","","61 Vir",199.6,-18.3111111,"G5V",5531,"Imaging","","HD 115617"
"47","61 Vir d","Confirmed",123.01,0.55,0.55,2009,"2009-12-15","Published in a refereed paper","Radial Velocity","","","","","61 Vir",199.6,-18.3111111,"G5V",5531,"Imaging","","HD 115617"
"48","7 CMa b","Confirmed",796,7.4,7.4,2011,"2015-10-19","Published in a refereed paper","Radial Velocity","Radial Velocity","","HD 47205 b","","7 CMa",99.1708333,-19.2558333,"K1 III",4792,"","",""
"49","70 Vir b","Confirmed",116.67,0.01,0.01,1996,"2010-12-29","Published in a refereed paper","Radial Velocity","","","","","70 Vir",202.1083333,13.7866667,"G4 V",5432,"IR Excess","","HR 117176"
"50","75 Cet b","Confirmed",691.9,3.6,3.6,2012,"2012-09-03","Published in a refereed paper","Radial Velocity","","","","","75 Cet",38.0375,-1.035,"G3III",4846,"","",""
"51","8 Umi b","Confirmed",93.4,4.5,4.5,2015,"2015-10-01","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","8 Umi",224.200000016,74.900833352,"K0",4847.4,"","",""
"53","91 Aqr b","Confirmed",181.4,0.1,0.1,2003,"2015-08-21","Published in a refereed paper","Radial Velocity","","","","","91 Aqr",348.9708333,-9.0875,"K0 III",4665,"","",""
"55","AS 205 A b","Confirmed",24.84,0.03,0.03,2017,"2017-06-08","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","AS 205A",242.879166677,-18.640277796,"K5",4300,"","","V866 Sco"
"56","Aldebaran b","Confirmed",628.96,0.9,0.9,1998,"2015-05-15","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","Aldebaran",68.9791667,16.5091667,"K5III",4055,"","","alf Tau"
"57","BD+03 2562 b","Confirmed",481.9,2.8,2.7,2017,"2017-06-30","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","BD+03 2562",177.564802922,2.76013113422,"",4095,"","",""
"58","BD+14 4559 b","Confirmed",268.94,0.99,0.99,2009,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","BD+14 4559",318.4,14.6894444,"K2V",5008,"","",""
"59","BD+15 2375 b","Confirmed",153.22,0.44,0.44,2016,"2016-03-21","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","BD+15 2375",176.483333352,14.616388914,"",4649,"","",""
"60","BD+15 2940 b","Confirmed",137.48,0.34,0.34,2013,"2013-04-30","Published in a refereed paper","Radial Velocity","","","","","BD+15 2940",240.0958,15.5469,"K0",4796,"","",""
"61","BD+20 1790 b","Confirmed",7.78287,0.00076,0.00077,2009,"2017-05-04","Announced on a professional conference","Other","","","","","BD+20 1790",110.9333333,20.4141667,"K5V",4410,"","Yes",""
"62","BD+20 2457 b","Confirmed",379.63,2.01,2.01,2009,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","BD+20 2457",154.1875,19.8913889,"K2II",4127,"","",""
"63","BD+20 2457 c","Confirmed",621.99,10.2,10.2,2009,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","BD+20 2457",154.1875,19.8913889,"K2II",4127,"","",""
"64","BD+20 274 c","Confirmed",578.2,3.4,3.4,2012,"2013-01-17","Published in a refereed paper","Radial Velocity","","","","","BD+20 274",25.9208333,21.005,"K5",4296,"","",""
"65","BD+20 594 b","Confirmed",41.6855,0.0031,0.0031,2016,"2016-02-23","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","BD+20 594",53.650000012,20.599166691,"K0 ",5766,"","","2MASS 03343623+2035574"
"66","BD+24 4697 b","Confirmed",145.081,0.016,0.016,2016,"2016-02-10","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","BD+24 4697",345.412500013,25.788055575,"",5077,"","",""
"67","BD+26 1888 b","Confirmed",536.78,0.25,0.25,2016,"2016-02-10","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","BD+26 1888",135.629166677,25.889444467,"K7",4748,"","",""
"68","BD+48 738 b","Confirmed",392.6,5.5,5.5,2011,"2016-02-23","Submitted to a professional journal","Radial Velocity","","","","","BD +48 738",40.7083333,49.5869444,"K0III",4414,"","",""
"69","BD+49 828 b","Confirmed",2590,180,300,2015,"2015-07-26","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","BD+49 828",45.641666678,49.730000025,"KO",4943,"","",""
"70","BD-06 1339 b","Confirmed",3.8728,4e-04,4e-04,2013,"2017-05-04","Published in a refereed paper","Radial Velocity","","","GJ 221 b","","BD-06 1339",88.25,-5.9947,"K7V/M0V",4324,"","","GJ 221"
"71","BD-06 1339 c","Confirmed",125.94,0.44,0.44,2013,"2017-05-04","Published in a refereed paper","Radial Velocity","","","GJ 221 c","","BD-06 1339",88.25,-5.9947,"K7V/M0V",4324,"","","GJ 221"
"72","BD-06 1339 d","Confirmed",500,26,32,2014,"2017-05-04","Published in a refereed paper","Radial Velocity","Radial Velocity","","GJ 221 d","","BD-06 1339",88.25,-5.9947,"K7V/M0V",4324,"","","GJ 221"
"73","BD-08 2823 b","Confirmed",5.6,0.02,0.02,2009,"2016-02-23","Submitted to a professional journal","Radial Velocity","","","","","BD-08 2823",150.2,-9.5166667,"K3V",4746,"","",""
"74","BD-08 2823 c","Confirmed",237.6,1.5,1.5,2009,"2016-02-23","Submitted to a professional journal","Radial Velocity","","","","","BD-08 2823",150.2,-9.5166667,"K3V",4746,"","",""
"75","BD-10 3166 b","Confirmed",3.4878,1e-04,1e-04,2000,"2015-02-24","Published in a refereed paper","Radial Velocity","Radial Velocity","Theoretical","","","BD-10 3166",164.6166667,-10.7702778,"G4 V",5400,"","",""
"76","BD-11 4672 b","Confirmed",1667,33,33,2010,"2016-02-23","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","BD-11 4672",278.370833343,-11.636111126,"K7V",4475,"","",""
"77","BD-17 63 b","Confirmed",655.6,0.6,0.6,2008,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","BD-17 63",7.1416667,-16.2263889,"K5V",4714,"","",""
"80","CFBDS 1458 b","Confirmed",14227,8600,8600,2011,"2017-03-10","Published in a refereed paper","Imaging","","","","","CFBDS 1458",224.6208333,10.2286111,"T9.5",560,"","",""
"85","CVSO 30 b ","Confirmed",0.448413,4e-05,4e-05,2012,"2016-06-12","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","PTFO 8-8695 b","","CVSO 30",81.2833333,1.5733333,"M3 PMS",3740,"","","PTFO 8-8695"
"86","CoRoT-1 b","Confirmed",1.5089557,6.4e-06,6.4e-06,2007,"2014-01-24","Published in a refereed paper","Primary Transit","","","","","CoRoT-1",102.0791667,-3.1022222,"G0V",6298,"","",""
"87","CoRoT-10 b","Confirmed",13.2406,2e-04,2e-04,2010,"2014-08-29","Published in a refereed paper","Primary Transit","","","","","CoRoT-10",291.0625,0.7461111,"K1V",5075,"","",""
"88","CoRoT-11 b","Confirmed",2.994325,2.1e-05,2.1e-05,2010,"2014-08-17","Published in a refereed paper","Primary Transit","","","","","CoRoT-11",280.6875,5.9377778,"F6V",6343,"","",""
"89","CoRoT-12 b","Confirmed",2.828042,1.3e-05,1.3e-05,2010,"2014-08-16","Published in a refereed paper","Primary Transit","","","","","CoRoT-12",100.7666667,-1.2963889,"G2V",5675,"","",""
"90","CoRoT-13 b","Confirmed",4.03519,3e-05,3e-05,2010,"2014-08-16","Published in a refereed paper","Primary Transit","","","","","CoRoT-13",102.7208333,-5.0863889,"G0V",5945,"","",""
"91","CoRoT-14 b","Confirmed",1.51214,0.00013,0.00013,2010,"2014-01-24","Published in a refereed paper","Primary Transit","","","","","CoRoT-14",103.425,-5.5361111,"F9V",6035,"","",""
"93","CoRoT-16 b","Confirmed",5.35227,2e-04,2e-04,2010,"2014-01-24","Published in a refereed paper","Primary Transit","","","","","CoRoT-16",278.525,-6.0025,"G5V",5650,"","",""
"94","CoRoT-17 b","Confirmed",3.768125,0.000257,0.000257,2010,"2014-01-24","Published in a refereed paper","Primary Transit","","","","","CoRoT-17",278.6958333,-6.6122222,"G2V",5740,"","",""
"95","CoRoT-18 b","Confirmed",1.9000693,2.8e-06,2.8e-06,2011,"2014-01-24","Published in a refereed paper","Primary Transit","","","","","CoRoT-18",98.170833347,0.031388901,"G9V",5440,"","",""
"96","CoRoT-19 b","Confirmed",3.89713,2e-05,2e-05,2011,"2014-01-24","Published in a refereed paper","Primary Transit","","","","","CoRoT-19",97.033333336,0.170555562,"F9V",6090,"","",""
"97","CoRoT-2 b","Confirmed",1.7429964,1.7e-06,1.7e-06,2007,"2014-01-25","Published in a refereed paper","Primary Transit","","","","","CoRoT-2",291.7791667,1.3838889,"G7V",5575,"","",""
"98","CoRoT-20 b","Confirmed",9.24285,0,0,2011,"2014-07-10","Published in a refereed paper","Primary Transit","","","","","CoRoT-20",97.730434,0.22692,"G2V",5880,"","",""
"99","CoRoT-21 b","Confirmed",2.72474,0.00014,0.00014,2011,"2014-01-24","Published in a refereed paper","Primary Transit","","","","","CoRoT-21",101.05245,-0.29913,"F8IV",6200,"","",""
"100","CoRoT-22 b","Confirmed",9.75598,0.00011,0.00011,2011,"2014-08-28","Announced on a professional conference","Primary Transit","","","","","CoRoT-22",280.66666668,6.225000011,"G0IV",5939,"","",""
"101","CoRoT-23 b","Confirmed",3.6314,1e-04,1e-04,2011,"2014-01-26","Published in a refereed paper","Primary Transit","","","","","CoRoT-23",279.782615,4.3578,"G0V",5900,"","",""
"102","CoRoT-24 b","Confirmed",5.1134,6e-04,6e-04,2011,"2014-07-08","Submitted to a professional journal","Primary Transit","","","","","CoRoT-24",101.925000014,-3.719444461,"K1V",4950,"","",""
"103","CoRoT-24 c","Confirmed",11.759,0.0063,0.0063,2011,"2014-07-08","Submitted to a professional journal","Primary Transit","","","","","CoRoT-24",101.925000014,-3.719444461,"K1V",4950,"","",""
"104","CoRoT-25 b","Confirmed",4.86069,6e-05,6e-05,2012,"2014-05-21","Published in a refereed paper","Primary Transit","","","","","CoRoT-25",280.6292,6.5139,"G0V",6040,"","",""
"105","CoRoT-26 b","Confirmed",4.20474,5e-05,5e-05,2012,"2014-05-27","Published in a refereed paper","Primary Transit","","","","","CoRoT-26",279.75,6.97,"G8IV",5590,"","",""
"106","CoRoT-27 b","Confirmed",3.57532,6e-05,6e-05,2012,"2014-07-10","Published in a refereed paper","Primary Transit","","","","","CoRoT-27",278.4958,5.5386,"G2",5900,"","",""
"107","CoRoT-28 b","Confirmed",5.20851,0.00038,0.00038,2012,"2015-08-17","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","CoRoT-28",278.6875,5.5739,"G8/9IV",5150,"","",""
"108","CoRoT-29 b","Confirmed",2.85057,6e-06,6e-06,2012,"2015-04-27","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","CoRoT-29",278.9042,6.4797,"KOV",5260,"","",""
"109","CoRoT-3 b","Confirmed",4.2567994,5e-06,5e-06,2008,"2013-07-08","Published in a refereed paper","Primary Transit","","","","","CoRoT-3",292.0541667,0.1219444,"F3V",6558,"","",""
"110","CoRoT-30 b","Confirmed",9.06005,0.00024,0.00024,2017,"2017-12-08","Published in a refereed paper","Primary Transit","Radial Velocity","","","","CoRoT-30",277.600000008,6.835833352,"G3V",5660,"","",""
"111","CoRoT-31 b","Confirmed",4.62941,0.00075,0.00075,2017,"2017-12-08","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","CoRoT-31",94.820833339,-4.422222235,"G2IV",5370,"","",""
"112","CoRoT-32 b","Confirmed",6.71837,1e-05,1e-05,2017,"2017-09-13","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","CoRoT-32",100.195833349,9.257500011,"G0VI",5970,"","","CoRoT-223977153"
"113","CoRoT-33 b","Confirmed",5.819143,1.8e-05,1.8e-05,2015,"2015-08-25","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","CoRoT-33",279.641666678,5.624722241,"G9V",5225,"","","USNO-A2 0900-13338694, 2MASS 18383391 + 0537287"
"114","CoRoT-4 b","Confirmed",9.20205,0.00037,0.00037,2008,"2013-06-05","Published in a refereed paper","Primary Transit","","","","","CoRoT-4",102.1958333,-0.6727778,"F8V",6190,"","",""
"115","CoRoT-5 b","Confirmed",4.0378962,1.9e-06,1.9e-06,2008,"2014-05-22","Published in a refereed paper","Primary Transit","","","","","CoRoT-5",101.2791667,0.8152778,"F9V",6100,"","",""
"116","CoRoT-6 b","Confirmed",8.886593,4e-06,4e-06,2009,"2013-06-05","Published in a refereed paper","Primary Transit","","","","","CoRoT-6",281.075,6.6633333,"F9V",6090,"","",""
"117","CoRoT-7 b","Confirmed",0.853585,2.4e-05,2.4e-05,2009,"2017-06-11","Published in a refereed paper","Primary Transit","","","","","CoRoT-7",100.9541667,-1.0627778,"K0V",5313,"","",""
"118","CoRoT-7 c","Confirmed",3.698,0.003,0.003,2009,"2017-06-11","Published in a refereed paper","Radial Velocity","","","","","CoRoT-7",100.9541667,-1.0627778,"K0V",5313,"","",""
"119","CoRoT-8 b","Confirmed",6.21229,3e-05,3e-05,2010,"2014-08-16","Published in a refereed paper","Primary Transit","","","","","CoRoT-8",291.5875,1.4266667,"K1V",5080,"","",""
"120","CoRoT-9 b","Confirmed",95.273804,0.0014,0.0014,2010,"2017-07-08","Published in a refereed paper","Primary Transit","","","","","CoRoT-9",280.7875,6.2041667,"G3V",5625,"","",""
"121","DE0823-49 b","Confirmed",247.75,0.64,0.64,2013,"2015-06-01","Published in a refereed paper","Imaging","Astrometry","","","","DE0823-49",125.762500001,-48.799722218,"",2150,"","",""
"126","EPC 212069861 b","Confirmed",30.9542,0.0022,0.0022,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","","","","EPIC 212069861",134.444208349,21.4535527896,"",3880,"","","2MASS J08574660+2127127"
"127","EPIC 201128338 b","Confirmed",32.6527,0.0035,0.0035,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","","","","EPIC 201128338",181.632800011,-5.82741113604,"M0.0V",3940,"","","2MASS J12063188-0549386"
"128","EPIC 201295312 b","Confirmed",5.65639,0.00075,0.00075,2016,"2016-02-08","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","EPIC 201295312",174.012500001,-2.520833347,"",5830,"","",""
"129","EPIC 201445392 c","Confirmed",2.50856,0.00041,0.00041,2015,"2015-12-07","Submitted to a professional journal","Primary Transit","","","","","K2-8",169.79366667,-0.2843888954,"",4890,"","","EPIC 201445392"
"130","EPIC 201598502 b","Confirmed",7.51554,0.00098,0.00098,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","","","","EPIC 201598502",183.809191671,2.02095278154,"M3.0",3720,"","","2MASS J12151420+0201153"
"131","EPIC 201637175 b","Confirmed",0.381071,1e-06,1e-06,2015,"2015-07-27","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","EPIC 201637175 ",169.483333352,2.618611125,"M0V",3830,"","",""
"132","EPIC 201713348 b","Confirmed",1.42266,5e-05,5e-05,2015,"2016-06-08","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 201713348",169.450000016,3.866388919,"",4924,"","",""
"133","EPIC 201713348 c","Confirmed",5.34059,1e-04,1e-04,2015,"2016-06-08","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 201713348",169.450000016,3.866388919,"",4924,"","",""
"134","EPIC 203826436 b","Confirmed",4.44117,0.00075,0.00075,2015,"2016-06-09","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 203826436",243.450000016,-24.786944463,"G3V",5413,"","",""
"135","EPIC 203826436 c","Confirmed",6.42904,0.00036,0.00036,2015,"2016-06-09","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 203826436",243.450000016,-24.786944463,"G3V",5413,"","",""
"136","EPIC 203826436 d","Confirmed",14.09189,0.00135,0.00135,2015,"2016-06-09","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 203826436",243.450000016,-24.786944463,"G3V",5413,"","",""
"137","EPIC 204221263 b","Confirmed",4.01593,5e-04,5e-04,2016,"2016-06-13","Published in a refereed paper","Primary Transit","","","","","EPIC 204221263",240.033333336,-23.189166675,"G2V",5757,"","",""
"138","EPIC 204221263 c","Confirmed",10.56103,9e-04,9e-04,2016,"2016-06-13","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 204221263",240.033333336,-23.189166675,"G2V",5757,"","",""
"139","EPIC 210894022 b","Confirmed",5.35117,0.00055,0.00055,2017,"2017-08-18","Published in a refereed paper","Radial Velocity","Radial Velocity","Primary Transit","K2-111 b","","EPIC 210894022",59.8897541778,21.2986861291,"",5730,"","","K2-111, Cl* Melotte 25 PELS 9, 2MASS 03593351 + 211755"
"140","EPIC 211331236 b","Confirmed",1.291563,2.6e-05,2.6e-05,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 211331236",133.855654175,10.4691027891,"M1.0V",3676,"","","2MASS J08552535+1028087"
"141","EPIC 211331236 c","Confirmed",5.44425,0.00032,0.00032,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 211331236",133.855654175,10.4691027891,"M1.0V",3676,"","","2MASS J08552535+1028087"
"142","EPIC 211391664 b","Confirmed",10.13675,0.00033,0.00033,2016,"2016-08-04","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","UCAC 508-047859 b, 2MASS 08255719+1130402 b","","EPIC 211391664",126.488287519,11.5111444634,"F8V",6120,"","","K2-98, 2MASS 08255719+1130402"
"143","EPIC 211418729 b","Confirmed",11.39109,0.00018,0.00017,2017,"2017-08-27","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","EPIC 211418729",127.882962511,11.9222639117,"",5027,"","",""
"144","EPIC 211442297 b","Confirmed",20.273034,3.6e-05,3.7e-05,2017,"2017-08-27","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","EPIC 211442297",126.553445838,12.2819361287,"",5560,"","",""
"145","EPIC 211822797 b","Confirmed",21.169619,0.001729,0.001665,2016,"2016-09-07","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 211822797",130.410354179,17.6400055736,"",3880,"","",""
"146","EPIC 211913977 b","Confirmed",14.677286,0.000804,0.000828,2016,"2016-09-07","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 211913977",130.344087508,18.9338750191,"",4819,"","",""
"147","EPIC 211924657 b","Confirmed",2.644646,4.3e-05,4.3e-05,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 211924657",130.026783335,19.0929111204,"M3.0V",3385,"","","2MASS J08400641+1905346, UCAC3 219-93463"
"148","EPIC 211969807 b","Confirmed",1.97419,0.00011,0.00011,2016,"2016-09-07","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 211969807",129.636754178,19.7738277988,"",3660,"","",""
"149","EPIC 211970147 b","Confirmed",9.915615,0.001195,0.001209,2016,"2016-09-07","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 211970147",130.056045838,19.7788111362,"",4695,"","",""
"150","EPIC 211990866 b","Confirmed",1.673916,1.3e-05,1.2e-05,2016,"2016-09-07","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 211990866",129.601258341,20.1060638957,"",6120,"","",""
"151","EPIC 212006344 b","Confirmed",2.219315,7.4e-05,7.4e-05,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","","","","EPIC 212006344",126.476345851,20.3595777924,"",3903,"","","2MASS J08255432+2021344"
"152","EPIC 213715787 b","Confirmed",0.961917,2.6e-05,2.6e-05,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","","","","EPIC 213715787",293.83319,-28.497833,"",3672,"","","2MASS J19351996-2829523"
"153","EPIC 216468514 b","Confirmed",3.31392,2e-05,2e-05,2016,"2017-02-21","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","K2-107 b","","EPIC 216468514",284.985375019,-22.2934027915,"F9IV",6030,"","","EPIC 216468514, 2MASS 18595649-221736"
"154","EPIC 219388192 b","Confirmed",5.292569,2.6e-05,2.6e-05,2016,"2016-10-28","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","EPIC 219388192",289.391666678,-16.871666688,"G",5850,"","","2MASS J19173402-1652177"
"155","EPIC 220194974 b","Confirmed",4.38395,8e-04,8e-04,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 220194974",14.5178208348,-0.19315556708,"",4079,"","","2MASS J00580427-0011353"
"156","EPIC 220194974 c","Confirmed",6.9226,7e-04,7e-04,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","","","","EPIC 220194974",14.5178208348,-0.19315556708,"",4079,"","","2MASS J00580427-0011353"
"157","EPIC 220194974 d","Confirmed",9.7579,0.001,0.001,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","","","","EPIC 220194974",14.5178208348,-0.19315556708,"",4079,"","","2MASS J00580427-0011353"
"158","EPIC 220504338","Confirmed",5.817712,4e-05,4e-05,2016,"2016-11-24","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","EPIC 220504338",19.450000016,6.702222238,"G",5627,"","",""
"159","EPIC 220522664 b","Confirmed",11.332,0.0013,0.0013,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","","","","EPIC 220522664",9.82190000575,7.27710001368,"M1.0V",3745,"","","2MASS J00391724+0716375"
"160","EPIC 220598331 b","Confirmed",10.59357,0.00084,0.00084,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 220598331",18.3441750075,8.98753891192,"M2.5V",3499,"","","2MASS J01132260+0859152"
"161","EPIC 220621087 b","Confirmed",3.835592,2.3e-05,2.3e-05,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 220621087",19.3045250044,9.50138056666,"M1.5V",3585,"","","2MASS J01171307+0930050"
"162","EPIC 228735255 b","Confirmed",6.5693,2e-05,1.7e-05,2017,"2017-06-25","Published in a refereed paper","Primary Transit","","","","","EPIC 228735255",188.137333344,-9.607638907,"G5",5654,"","","2MASS J12323296-0936274"
