"","X..name","planet_status","orbital_period","orbital_period_error_min","orbital_period_error_max","discovered","updated","publication_status","detection_type","mass_detection_type","radius_detection_type","alternate_names","molecules","star_name","ra","dec","star_sp_type","star_teff","star_detected_disc","star_magnetic_field","star_alternate_names"
"798","HD 5583 b","Confirmed",139.35,0.22,0.22,2016,"2016-03-21","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 5583",14.487500019,34.985555577,"K0",4830,"","",""
"799","HD 5608 b","Confirmed",792.6,7.7,7.7,2012,"2013-01-17","Published in a refereed paper","Radial Velocity","","","","","HD 5608",14.5583,33.9508,"K0IV",4854,"","",""
"800","HD 564 b","Confirmed",492.3,2.3,2.3,2014,"2015-01-08","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 564",2.470833351,-50.267777784,"G3V",5902,"","",""
"801","HD 5891 b","Confirmed",177.11,0.31,0.31,2011,"2011-09-02","Published in a refereed paper","Radial Velocity","","","","","HD 5891",15.1375,20.2925,"G5D",4907,"","",""
"802","HD 59686 A b","Confirmed",299.36,0.31,0.26,2003,"2016-08-03","Submitted to a professional journal","Radial Velocity","Radial Velocity","","HIP 36616 b, HR 2877 b","","HD 59686 A",112.95,17.0858333,"K2 III",4658,"","","HIP 36616, HR 2877"
"803","HD 60532 b","Confirmed",201.83,0.14,0.14,2008,"2012-01-31","Published in a refereed paper","Radial Velocity","","","","","HD 60532",113.5125,-22.2961111,"F6IV-V",6095,"","",""
"804","HD 60532 c","Confirmed",607.06,2.1,2.1,2008,"2012-01-31","Published in a refereed paper","Radial Velocity","","","","","HD 60532",113.5125,-22.2961111,"F6IV-V",6095,"","",""
"805","HD 62509 b","Confirmed",589.64,0.81,0.81,2006,"2015-08-21","Published in a refereed paper","Radial Velocity","","","","","HD 62509",116.325,28.0261111," K0IIIb",4666,"","",""
"806","HD 63454 b","Confirmed",2.81747,0.000382247,0.000382247,2005,"2015-02-20","Published in a refereed paper","Radial Velocity","Radial Velocity","Theoretical","","","HD 63454",114.8375,-78.2788889,"K4 V",4841,"","",""
"807","HD 63765 b","Confirmed",358,1,1,2009,"2011-07-05","Published in a refereed paper","Radial Velocity","","","","","HD 63765",116.9583333,-54.2641667,"G9V",5432,"","",""
"808","HD 6434 b","Confirmed",21.998,9e-04,9e-04,2000,"2010-12-30","Published in a refereed paper","Radial Velocity","","","","","HD 6434",16.1666667,-39.4880556,"G3 IV",5835,"","",""
"809","HD 65216 b","Confirmed",572.4,0.21,0.21,2003,"2014-01-26","Published in a refereed paper","Radial Velocity","","","","","HD 65216",118.4208333,-63.6472222,"G5 V",5666,"","",""
"810","HD 65216 c","Confirmed",152.6,0.6,0.6,2011,"2014-01-26","Submitted to a professional journal","Radial Velocity","","","","","HD 65216",118.4208333,-63.6472222,"G5 V",5666,"","",""
